    Time         Eth-MAC-SRC       Eth-MAC-DST      OP       ARP-MAC-SRC     ARP-IP-SRC    ARP-MAC-DST     ARP-IP-DST
45.4187440872 00:1b:11:22:a7:26 ff:ff:ff:ff:ff:ff who-has 00:1b:11:22:a7:26 10.1.100.221 00:00:00:00:00:00 10.1.100.130
47.0551550388 10:1f:74:3c:69:21 ff:ff:ff:ff:ff:ff who-has 10:1f:74:3c:69:21 10.1.11.15 00:00:00:78:00:04 10.1.11.187
49.3467731476 a4:17:31:e2:e1:1b 00:1b:21:7f:6c:fc who-has a4:17:31:e2:e1:1b 10.1.200.174 00:00:00:00:00:00 10.1.200.254
49.3484010696 00:1b:21:7f:6c:fc a4:17:31:e2:e1:1b is-at 00:1b:21:7f:6c:fc 10.1.200.254 a4:17:31:e2:e1:1b 10.1.200.174
51.5633311272 48:5b:39:c6:3b:c6 ff:ff:ff:ff:ff:ff who-has 48:5b:39:c6:3b:c6 10.1.100.56 00:00:00:00:00:00 10.1.100.175
52.0717861652 c8:d7:19:b7:33:d2 ff:ff:ff:ff:ff:ff who-has c8:d7:19:b7:33:d2 10.1.200.60 00:00:00:00:00:00 10.0.0.253
52.4811410904 48:5b:39:c6:3b:c6 ff:ff:ff:ff:ff:ff who-has 48:5b:39:c6:3b:c6 10.1.100.56 00:00:00:00:00:00 10.1.100.175
52.9928359985 c8:d7:19:b7:33:d2 ff:ff:ff:ff:ff:ff who-has c8:d7:19:b7:33:d2 10.1.200.60 00:00:00:00:00:00 10.0.0.253
53.504832983 48:5b:39:c6:3b:c6 ff:ff:ff:ff:ff:ff who-has 48:5b:39:c6:3b:c6 10.1.100.56 00:00:00:00:00:00 10.1.100.175
54.032020092 c8:d7:19:b7:33:d2 ff:ff:ff:ff:ff:ff who-has c8:d7:19:b7:33:d2 10.1.200.60 00:00:00:00:00:00 10.0.0.253
58.1135690212 c8:d7:19:b7:33:d2 ff:ff:ff:ff:ff:ff who-has c8:d7:19:b7:33:d2 10.1.200.60 00:00:00:00:00:00 10.0.0.253
59.0362830162 c8:d7:19:b7:33:d2 ff:ff:ff:ff:ff:ff who-has c8:d7:19:b7:33:d2 10.1.200.60 00:00:00:00:00:00 10.0.0.253
60.0583310127 c8:d7:19:b7:33:d2 ff:ff:ff:ff:ff:ff who-has c8:d7:19:b7:33:d2 10.1.200.60 00:00:00:00:00:00 10.0.0.253
61.1865651608 48:5b:39:c6:3b:c6 ff:ff:ff:ff:ff:ff who-has 48:5b:39:c6:3b:c6 10.1.100.56 00:00:00:00:00:00 10.1.100.175
62.0038101673 48:5b:39:c6:3b:c6 ff:ff:ff:ff:ff:ff who-has 48:5b:39:c6:3b:c6 10.1.100.56 00:00:00:00:00:00 10.1.100.175
63.02780509 48:5b:39:c6:3b:c6 ff:ff:ff:ff:ff:ff who-has 48:5b:39:c6:3b:c6 10.1.100.56 00:00:00:00:00:00 10.1.100.175
64.0543010235 c8:d7:19:b7:33:d2 ff:ff:ff:ff:ff:ff who-has c8:d7:19:b7:33:d2 10.1.200.60 00:00:00:00:00:00 10.0.0.253
65.0757579803 c8:d7:19:b7:33:d2 ff:ff:ff:ff:ff:ff who-has c8:d7:19:b7:33:d2 10.1.200.60 00:00:00:00:00:00 10.0.0.253
66.100520134 c8:d7:19:b7:33:d2 ff:ff:ff:ff:ff:ff who-has c8:d7:19:b7:33:d2 10.1.200.60 00:00:00:00:00:00 10.0.0.253
69.6836919785 10:1f:74:3c:69:21 ff:ff:ff:ff:ff:ff who-has 10:1f:74:3c:69:21 10.1.11.15 01:3c:16:00:08:c3 10.1.11.187
71.2193939686 00:1b:21:7f:6c:fc ff:ff:ff:ff:ff:ff who-has 00:1b:21:7f:6c:fc 10.1.200.254 00:00:00:00:00:00 10.1.200.141
71.4241030216 00:18:e7:29:44:89 ff:ff:ff:ff:ff:ff who-has 00:18:e7:29:44:89 10.1.100.149 00:00:00:00:00:00 10.1.100.2
71.5265071392 48:5b:39:c6:3b:c6 ff:ff:ff:ff:ff:ff who-has 48:5b:39:c6:3b:c6 10.1.100.56 00:00:00:00:00:00 10.1.100.175
72.4526851177 48:5b:39:c6:3b:c6 ff:ff:ff:ff:ff:ff who-has 48:5b:39:c6:3b:c6 10.1.100.56 00:00:00:00:00:00 10.1.100.175
72.4532511234 68:94:23:3b:08:22 ff:ff:ff:ff:ff:ff who-has 68:94:23:3b:08:22 10.1.200.47 00:00:00:00:00:00 10.1.200.254
73.4724390507 48:5b:39:c6:3b:c6 ff:ff:ff:ff:ff:ff who-has 48:5b:39:c6:3b:c6 10.1.100.56 00:00:00:00:00:00 10.1.100.175
74.0956280231 c8:d7:19:b7:33:d2 ff:ff:ff:ff:ff:ff who-has c8:d7:19:b7:33:d2 10.1.200.60 00:00:00:00:00:00 10.0.0.253
75.1152861118 c8:d7:19:b7:33:d2 ff:ff:ff:ff:ff:ff who-has c8:d7:19:b7:33:d2 10.1.200.60 00:00:00:00:00:00 10.0.0.253
76.1357901096 c8:d7:19:b7:33:d2 ff:ff:ff:ff:ff:ff who-has c8:d7:19:b7:33:d2 10.1.200.60 00:00:00:00:00:00 10.0.0.253
80.3331530094 00:18:e7:29:44:89 ff:ff:ff:ff:ff:ff who-has 00:18:e7:29:44:89 10.1.100.149 00:00:00:00:00:00 10.1.100.2
81.5630919933 48:5b:39:c6:3b:c6 ff:ff:ff:ff:ff:ff who-has 48:5b:39:c6:3b:c6 10.1.100.56 00:00:00:00:00:00 10.1.100.175
82.4848380089 48:5b:39:c6:3b:c6 ff:ff:ff:ff:ff:ff who-has 48:5b:39:c6:3b:c6 10.1.100.56 00:00:00:00:00:00 10.1.100.175
82.9954440594 00:d0:b8:24:9f:69 ff:ff:ff:ff:ff:ff who-has 00:d0:b8:24:9f:69 10.1.100.219 00:00:00:00:00:00 10.1.100.254
83.5074989796 48:5b:39:c6:3b:c6 ff:ff:ff:ff:ff:ff who-has 48:5b:39:c6:3b:c6 10.1.100.56 00:00:00:00:00:00 10.1.100.175
86.1710700989 c8:d7:19:b7:33:d2 ff:ff:ff:ff:ff:ff who-has c8:d7:19:b7:33:d2 10.1.200.60 00:00:00:00:00:00 10.0.0.253
87.1953060627 c8:d7:19:b7:33:d2 ff:ff:ff:ff:ff:ff who-has c8:d7:19:b7:33:d2 10.1.200.60 00:00:00:00:00:00 10.0.0.253
87.297055006 00:27:0e:0f:28:26 ff:ff:ff:ff:ff:ff who-has 00:27:0e:0f:28:26 10.1.100.128 00:00:00:00:00:00 10.1.100.143
88.2175481319 c8:d7:19:b7:33:d2 ff:ff:ff:ff:ff:ff who-has c8:d7:19:b7:33:d2 10.1.200.60 00:00:00:00:00:00 10.0.0.253
89.9586961269 10:1f:74:3c:69:21 ff:ff:ff:ff:ff:ff who-has 10:1f:74:3c:69:21 10.1.11.15 00:00:00:78:00:04 10.1.11.187
91.1931481361 48:5b:39:c6:3b:c6 ff:ff:ff:ff:ff:ff who-has 48:5b:39:c6:3b:c6 10.1.100.56 00:00:00:00:00:00 10.1.100.175
92.006747961 48:5b:39:c6:3b:c6 ff:ff:ff:ff:ff:ff who-has 48:5b:39:c6:3b:c6 10.1.100.56 00:00:00:00:00:00 10.1.100.175
92.9287381172 48:5b:39:c6:3b:c6 ff:ff:ff:ff:ff:ff who-has 48:5b:39:c6:3b:c6 10.1.100.56 00:00:00:00:00:00 10.1.100.175
93.238713026 c8:d7:19:b7:33:d2 ff:ff:ff:ff:ff:ff who-has c8:d7:19:b7:33:d2 10.1.200.60 00:00:00:00:00:00 10.0.0.253
93.6448941231 00:1b:21:7f:6c:fc ff:ff:ff:ff:ff:ff who-has 00:1b:21:7f:6c:fc 10.1.200.254 00:00:00:00:00:00 10.1.200.19
94.2593400478 c8:d7:19:b7:33:d2 ff:ff:ff:ff:ff:ff who-has c8:d7:19:b7:33:d2 10.1.200.60 00:00:00:00:00:00 10.0.0.253
94.9771361351 00:1b:21:7f:6c:fc ff:ff:ff:ff:ff:ff who-has 00:1b:21:7f:6c:fc 10.1.17.254 00:00:00:00:00:00 10.1.17.16
95.182502985 c8:d7:19:b7:33:d2 ff:ff:ff:ff:ff:ff who-has c8:d7:19:b7:33:d2 10.1.200.60 00:00:00:00:00:00 10.0.0.253
99.8910470009 54:e6:fc:c7:5b:e5 ff:ff:ff:ff:ff:ff who-has 54:e6:fc:c7:5b:e5 10.1.200.184 00:00:00:00:00:00 10.1.200.184
